순번,학원 및 교습소명,주소
855,김샘동호ㆍ율하학원,대구광역시 동구 동호로 69 602~603호 (동호동)
856,김승리국어학원,대구광역시 수성구 청호로 435  1층2층3층 (범어동)
857,트리비움학원,대구광역시 동구 팔공로 263  2층 (봉무동)
858,공부와책독서&학습학원,대구광역시 수성구 수성로 300-1  2층 (수성동2가)
859,리드앤톡영어학원,대구광역시 수성구 수성로25길 13  2층 (상동)
860,황쌤수학학원,대구광역시 동구 안심로22길 46  4층 (율하동)
861,민쌤수학학원,대구광역시 수성구 달구벌대로650길 37  2층 (신매동)
862,대나무수학학원,대구광역시 수성구 달구벌대로 2276  3층 (수성동1가)
863,엘리트코스수학학원,대구광역시 수성구 달구벌대로 2579  4층 (만촌동)
864,YR학원,대구광역시 수성구 동대구로 354  5층 (범어동)
865,탑국어전문대입컨설팅학원,대구광역시 수성구 청호로96안길 12  2층 (만촌동)
866,리딩북스국어논술학원,대구광역시 수성구 달구벌대로 3294  204호 (신매동 시지퍼스트)
867,The퍼스트수학학원,대구광역시 수성구 동원로 91  3층 (만촌동)
868,상상코뿔소입시학원,대구광역시 중구 달구벌대로 1933  2층 (대신동)
869,커피맛을조금아는남자커피학원,대구광역시 수성구 청솔로16길 41  1 2층 (범어동)
870,업사이클링공예학원,대구광역시 중구 중앙대로 459-1  1 2층 (북성로1가)
871,멘토즈독서실,대구광역시 동구 안심로 438  4 5층 (신서동)
872,김코치어학원,대구광역시 동구 동호로5길 18  2층 (신서동)
873,닥터안영어도서관어학원,대구광역시 수성구 달구벌대로 3294  7층 602호 (신매동 시지퍼스트)
874,스터디나인(STUDY9)황금점독서실,대구광역시 수성구 청호로 301  지하1층 (황금동)
875,꿈을그리는아이들미술학원,대구광역시 수성구 달구벌대로647길 16  401동 201호 202호 (신매동 시지태왕하이츠)
876,뮤직스튜디오학원,대구광역시 수성구 수성로 393  수성하이츠주차장및상가동 210호 (수성동4가 수성하이츠)
877,911연기학원,대구광역시 중구 동성로6길 71  4층 (공평동)
878,광장색소폰학원,대구광역시 수성구 신매로19길 8-2  4층 (신매동)
879,아트핑거미술학원,대구광역시 수성구 국채보상로209길 76  2층 (만촌동)
880,만촌이룸독서실,대구광역시 수성구 화랑로8길 11-13  7층 (만촌동 성화빌딩)
881,루안음악학원,대구광역시 수성구 청수로45길 37  1층 일부 (황금동)
882,이정현음악학원,대구광역시 동구 안심로90길 8  1층 (괴전동)
883,재능바둑학원,대구광역시 동구 안심로 402  119동 303호 (신서동 영조아름다운나날1단지)
884,아프레디저트아카데미학원,대구광역시 중구 동성로1길 52  2층 (봉산동)
885,애니코코미술학원,대구광역시 동구 팔공로51길 41  404호 일부 (봉무동)
886,대구대봉점작심독서실,대구광역시 중구 명덕로55길 1  7층 일부 (대봉동 대천빌딩)
887,이시아미술학원,대구광역시 동구 팔공로51길 41  202호 일부 (봉무동)
888,전통예술무용학원,대구광역시 수성구 충의로 40  1층 (만촌동)
889,(주)이아이이수성어학원,대구광역시 수성구 명덕로 384  5층 (수성동1가)
890,알파음악학원,대구광역시 수성구 알파시티2로 20  3층 일부 (시지동)
891,굿썸방촌독서실,대구광역시 동구 동촌로 245  6층 (방촌동)
892,미미우학원,대구광역시 중구 국채보상로 718  3층 (동인동4가)
893,플레이음악학원,대구광역시 수성구 희망로24길 24  201동 206호 (중동 수성 효성해링턴플레이스)
894,이바우펫애견미용학원,대구광역시 동구 동대구로 525-1  3층 (신천동 은종빌딩)
895,이든실용음악학원,대구광역시 중구 중앙대로 273  4층 (남산동)
896,수성애니포스만화학원,대구광역시 수성구 달구벌대로 2517  2층 (범어동)
897,스마일키키미술학원,대구광역시 동구 안심로16길 47  417호 (율하동 율하타임스퀘어)
898,카이로스2외국어학원,대구광역시 수성구 달구벌대로 2529  4층 (범어동 범어에스타워)
899,타임무용학원,대구광역시 동구 과학로 10-1  4층 (각산동)
900,올댓뷰티아카데미학원,대구광역시 중구 중앙대로 390  9층 (동성로3가)
901,하이파이브어학원,대구광역시 동구 과학로13길 6-1  201호 (각산동)
902,랑쌤수학학원,대구광역시 수성구 달구벌대로661길 8  2층 (사월동)
903,인더박스독서실,대구광역시 수성구 범어로 127  2~3층 (범어동)
904,예인피아노음악학원,대구광역시 동구 효목로 36  5층 (효목동)
905,잇올스파르타관리형독서실,대구광역시 중구 국채보상로 582  5층 일부 (남일동 미도빌딩)
906,그린램프라이브러리범어캠퍼스독서실,대구광역시 수성구 달구벌대로 2495  5층 (범어동)
907,술해기어학원,대구광역시 중구 동성로1길 22  3층 (덕산동)
908,아트프리제미술학원,대구광역시 동구 팔공로51길 15-5  506호(봉무동)
909,영어백신어학원,대구광역시 수성구 청솔로 136  4층 (범어동)
910,비엠(BM)아트미용예술학원,대구광역시 동구 송라로 88  2층 (신천동)
911,포르테음악학원,대구광역시 동구 신숭겸길 1  2층 (지묘동)
912,원테이크아카데미학원,대구광역시 중구 동성로3길 83  5층 (공평동)
913,미술마을미술학원,대구광역시 수성구 상록로 67-1  1층 (범어동)
914,삼정서예학원,대구광역시 중구 중앙대로67길 10  2층 203호 (남산동 반월당삼정그린코아)
915,어반화실미술학원,대구광역시 중구 남산로 6  4층 (남산동)
916,에듀독서실,대구광역시 동구 안심로 389-5  더블럭 가동 2층 일부 (신서동)
917,마이더스K교육컨설팅학원,대구광역시 수성구 지범로 180 2층(지산동)
918,장수경발레학원,대구광역시 중구 대봉로 271  5층 504호 (봉산동)
919,예일음악학원,대구광역시 수성구 교학로 13  2층 205호 (만촌동)
920,대구성우학원,대구광역시 중구 경상감영길 189  3층 일부 4층 (동문동)
921,아우룸음악학원,대구광역시 수성구 들안로28길 33  1층 (황금동)
922,여기는관리형독서실,대구광역시 중구 명륜로 10  2~5층 (남산동)
923,상동점일등독서실,대구광역시 수성구 수성로 114  2층 (상동)
924,유니티탭네이션댄스학원,대구광역시 중구 공평로 63  3층 (공평동)
925,현대캐드컴퓨터학원,대구광역시 동구 팔공로51길 15-5  4층 402호 (봉무동)
926,바니댄스학원,대구광역시 동구 동북로 413  2층 (신암동)
927,스텝댄스학원,대구광역시 중구 경상감영길 160  5층 (동문동)
928,튼튼영어마스터클럽범어어학원,대구광역시 수성구 상록로 72  3층 일부 (범어동)
929,해봄부동산학원,대구광역시 중구 중앙대로 291-1  4층 (남산동)
930,코딩시티컴퓨터학원,대구광역시 수성구 청수로 154  3층 (지산동)
931,M바리스타학원,대구광역시 수성구 달구벌대로 3258  2층 (신매동)
932,스타뮤직EMS학원,대구광역시 동구 과학로13길 16  3층 (각산동)
933,디랩코딩학원,대구광역시 수성구 동대구로 300  3층 309호 (범어동 범어 롯데캐슬)
934,앤아버어학원,대구광역시 중구 경상감영길 164  3층 (동문동)
935,아트앤하트지산범물미술학원,대구광역시 수성구 용학로 236  4층 일부 (지산동)
936,파머스영어학원,대구광역시 동구 안심로22길 46  4층 일부 (율하동)
937,잇올스파르타수성관리형독서실,대구광역시 수성구 달구벌대로 2545  6층 일부 (만촌동)
938,센트럴자이피아노학원,대구광역시 중구 서성로 99  상가동 403호 404호 (수창동 대구역센트럴자이)
939,그림놀이미술학원,대구광역시 동구 메디밸리로8길 10  1층 (사복동)
940,꿈비전독서실,대구광역시 동구 송라로12길 27  2층 3층 (신천동)
941,계명피아노학원,대구광역시 동구 팔공로31길 7  2층 (불로동)
942,엘리프신천캠퍼스어학원,대구광역시 동구 장등로 38  4층 (신천동)
943,리베르발레학원,대구광역시 수성구 동대구로 354  7층 703호 (범어동 브라운스톤 범어)
944,대구범어공원점작심독서실,대구광역시 수성구 달구벌대로496길 64  3층 일부 (범어동)
945,비바뮤직스쿨음악학원,대구광역시 수성구 범안로 62  4층 (범물동)
946,시작관리형독서실,대구광역시 수성구 달구벌대로645길 11  4층 401호 (신매동)
947,김기진카빙데코레이션학원,대구광역시 동구 효동로1길 12  2층 일부 (효목동)
948,씨앤씨(C&C)미술학원,대구광역시 수성구 달구벌대로 2507 2층 202호(범어동)
949,키즈톡피아노학원,대구광역시 동구 안심로49길 71  1층 (서호동)
950,샘미술학원,대구광역시 중구 명덕로 189  3층 (남산동)
951,찬S드럼앤기타학원,대구광역시 수성구 신매로19길 8-2  5층 (신매동)
952,잉글리시하우스어학원,대구광역시 수성구 달구벌대로650길 43  3층 (신매동)
953,피아노숲음악학원,대구광역시 동구 메디밸리로8길 14  1층 (사복동)
954,애니원만화입시학원,대구광역시 중구 중앙대로 284  2층 (남산동 백합서점)
955,미술의전당미술학원,대구광역시 동구 메디밸리로8길 4-20  1층 (사복동)
956,마레음악학원,대구광역시 동구 반야월북로 149  4층 (각산동)
957,블루밍스콜라어학원,대구광역시 수성구 청수로26길 36  4층 405호 (두산동)
958,키키의미술시간학원,대구광역시 수성구 수성로69길 55  3층 (수성동1가)
959,올패스독서실,대구광역시 동구 반야월북로 226  4층 일부 (신서동)
960,손샘피아노학원,대구광역시 수성구 상록로16길 25  1층 (범어동)
961,에스엠영어본원입시학원,대구광역시 수성구 달구벌대로 2525 4층(범어동)
962,쥬트아뜰리에미술학원,대구광역시 수성구 들안로1길 25  1층 (상동)
963,퍼스트음악학원,대구광역시 동구 율하동로24길 72  2층 202호 (서호동)
964,디자인고흐미술학원,대구광역시 수성구 달구벌대로 2551  4층 (만촌동 경상빌딩)
965,탑댄스학원,대구광역시 동구 이노밸리로 140  4층 401호 (각산동 영우빌딩)
966,이샘사회역사학원,대구광역시 수성구 달구벌대로 2469  4층 일부 (범어동 범어동빌딩)
967,바른글국어입시학원,대구광역시 수성구 달구벌대로 2469  4층 일부 (범어동 범어동빌딩)
968,초콜릿영수학원,대구광역시 수성구 달구벌대로650길 29  2층 (신매동 신화빌라트)
969,엘티(LT)과학학원,대구광역시 수성구 달구벌대로 2489  5층 제2호 (범어동 범어동합동빌딩)
970,이제이모두의영어어학원,대구광역시 수성구 달구벌대로659길 6  4층 5층 (사월동)
971,정훈수학학원,대구광역시 수성구 청수로35길 99  3층 (황금동)
972,제이케이(JK)초등영어학원,대구광역시 수성구 청수로35길 158  1층 (황금동)
973,이주현영어열정관학원,대구광역시 수성구 달구벌대로 2509  5층 일부 (범어동)
974,한경스파르타공무원학원,대구광역시 중구 중앙대로 375  4층 (덕산동 대구YMCA)
975,대경영어학원,대구광역시 동구 팔공로 263  3층 302호 (봉무동)
976,더박스어학원,대구광역시 중구 동성로 2 7층 8층일부
977,아일비센트럴어학원,대구광역시 동구 동대구로 591  3층 (신암동)
978,동대구간호학원,대구광역시 동구 송라로 148  2층3층 (신암동)
979,이룸수학학원,대구광역시 수성구 고산로18길 5  4층 (신매동)
980,매동일등학원,대구광역시 수성구 천을로31길 15  2층 (매호동)
981,이아이이(EIE)만촌어학원,대구광역시 수성구 교학로 46  3층 (만촌동)
982,플라이투더스카이학원,대구광역시 수성구 달구벌대로 2642  3층 (만촌동)
983,하샘국어학원,대구광역시 수성구 달구벌대로492길 43  6층 (범어동)
984,김동욱수학전문학원,대구광역시 수성구 달구벌대로488길 7  2층 3층 (범어동)
985,헬렌영어브릿지학원,대구광역시 수성구 유니버시아드로 341  3층 (욱수동)
986,범어인트로만화학원,대구광역시 수성구 달구벌대로 2519  2층 (범어동)
987,에꼴드에땅미술학원,대구광역시 수성구 명덕로 455  상가 317호 (수성동3가 수성3가롯데캐슬아파트)
988,딩딩딩뮤직스쿨학원,대구광역시 동구 동호로 79  3층 일부 (신서동 동원빌딩)
989,순수발레무용학원,대구광역시 수성구 달구벌대로645길 11  3층 303호 (신매동)
990,트리니티어학원,대구광역시 수성구 달구벌대로496길 11  3층 (범어동)
991,크쌤영어학원,대구광역시 수성구 수성로12길 46-8  1층2층 (상동)
992,명덕점애니포스만화학원,대구광역시 중구 중앙대로 273  2층 (남산동)
993,하이스트영어학원,대구광역시 동구 팔공로51길 17  4층 405호 (봉무동)
994,더(The)단단영수학원,대구광역시 동구 동호로9길 75  3층 (신서동)
995,엘뷰티아카데미학원,대구광역시 동구 동부로 53  2층 일부 (신천동)
996,이루애미술학원,대구광역시 중구 서성로 99  상가동 407호 (수창동 대구역센트럴자이)
997,장헌멘토학원,대구광역시 수성구 용학로 298  4층 (범물동)
998,율하의대관학원,대구광역시 동구 안심로22길 50  4층 402호 (율하동)
999,위더스독서실,대구광역시 수성구 시지로 28  4층 401호 402호 (시지동)
1000,플레이댄스학원,대구광역시 수성구 상록로 20  3층 (범어동)
1001,코리아아이티(IT)아카데미학원,대구광역시 중구 중앙대로 366  9층 903호·10층 1001호·1002호·1003호 (덕산동)
1002,동경일본어이제이유(EJU)학원,대구광역시 수성구 달구벌대로 3294  5층 504호 (신매동 시지퍼스트)
1003,애플피아노학원,대구광역시 수성구 청솔로 122  2층 일부 (범어동)
1004,코리아바리스타제과제빵학원,대구광역시 중구 중앙대로 366  18층 1801호·1802호·1803호 (덕산동)
1005,코리아요리아트아카데미학원,대구광역시 중구 중앙대로 366  19층 1901호·1902호·1903호 (덕산동)
1006,경희커피바리스타학원,대구광역시 수성구 달구벌대로 2491-2  3층 (범어동)
1007,대구수성에이닷영어학원,대구광역시 수성구 달구벌대로 2510  8층 (범어동 범어동근생시설)
1008,아트인마인드미술학원,대구광역시 동구 동부로 26  상가 3층 305호 (신천동 신천휴먼시아5단지)
1009,더블유(W)무용학원,대구광역시 동구 메디밸리로 5-21  5층 504호·505호 (대림동)
1010,오아시스부동산학원,대구광역시 동구 아양로42길 6  4층 (효목동)
1011,놀작만촌키즈센터미술학원,대구광역시 수성구 충의로 3  2층 (만촌동)
1012,켈음악학원,대구광역시 수성구 범어로20길 48  4층 (범어동)
1013,프라우드영어학원,대구광역시 수성구 범어천로 170  4층 (범어동)
1014,듀크학원,대구광역시 수성구 용학로 206  3층 (지산동 대구은행 지산2동지점)
1015,엘리트영어학원,대구광역시 수성구 신매로 90  3층 (신매동)
1016,루시드어학원,대구광역시 동구 안심로90길 29  3층 303호 (괴전동)
1017,유투엠(U2M)범어수학학원,대구광역시 수성구 범어천로 170  5층 (범어동)
1018,솔리음악학원,대구광역시 동구 안심로90길 29  3층 302호 (괴전동)
1019,다빈치아트미술학원,대구광역시 동구 안심로90길 29  3층 301호 (괴전동)
1020,필댄스스포츠학원,대구광역시 동구 첨복로 33  2층 203호 (신서동 코아루파크뷰)
1021,에이블연기뮤지컬아르떼스피치학원,대구광역시 중구 봉산문화길 10  2층 (봉산동)
1022,기린섬미술학원,대구광역시 수성구 청수로 235  219호 일부 (황금동 캐슬골드파크 2단지)
1023,피렌체바리스타학원,대구광역시 수성구 들안로40길 61-22  2층 일부 (황금동)
1024,소르본음악학원,대구광역시 동구 과학로13길 18  4층 401호 (각산동 신서1020빌딩)
1025,신매연암국어학원,대구광역시 수성구 달구벌대로 3167  5층 (매호동)
1026,보스턴잉글리쉬영어학원,대구광역시 동구 팔공로51길 37  3층 304호 (봉무동)
1027,라곰영수학원,대구광역시 동구 과학로13길 2  2층 (각산동)
1028,한국건축도장기능학원,대구광역시 중구 태평로 280  3층 (동인동3가)
1029,천연패션학원,대구광역시 수성구 수성로 336-2  2층 3층 (수성동2가)
1030,럽인아트(LOVEinART)미술학원,대구광역시 수성구 달구벌대로504길 50  1층 (범어동)
1031,시그니쳐(SGNTR)음악학원,대구광역시 중구 동성로3길 58-18  3층 (삼덕동1가)
1032,딩딩딩뮤직스쿨학원,대구광역시 동구 팔공로51길 37  파스텔시티6층 604호 (봉무동)
1033,이안음악학원,대구광역시 동구 신암남로 19  4층 402호 (신암동)
1034,동화회계캐드컴퓨터학원,대구광역시 수성구 달구벌대로 3179  3층 (매호동)
1035,웅진씽크빅학습센터동대구학원,대구광역시 동구 신암남로 19  3층 (신암동)
1036,모그아카데미학원,대구광역시 중구 중앙대로 432-20  2층 (동성로2가)
1037,네오뷰티아카데미학원,대구광역시 수성구 무학로11길 10  2층 (상동)
1038,스터디나인(study9)범어독서실,대구광역시 수성구 범어천로 170  3층 (범어동)
1039,케독영어학원,대구광역시 동구 동호로5길 17  2층 (신서동)
1040,유투엠(U2M)수성수학학원,대구광역시 수성구 청호로 424  3층 (범어동)
1041,로제타스톤영어학원,대구광역시 동구 신암남로 19  4층 403호 5층 503호 (신암동)
1042,도수학학원,대구광역시 수성구 달구벌대로647길 7  4층 402호 (신매동 신매동 올리브카운티)
1043,리더아이(i)스쿨학원,대구광역시 동구 신암로12길 55-1  2층 (신천동)
1044,시지리틀리더스어학원,대구광역시 수성구 달구벌대로 3163  4층 (매호동)
1045,이끌림학원,대구광역시 수성구 범어천로 126  상가동 2층 207호 (범어동 코오롱 하늘채 수)
1046,국어의바람국풍국어학원,대구광역시 수성구 달구벌대로 2582  1호 2층 (만촌동)
1047,범어우성학원,대구광역시 수성구 달구벌대로492길 25-2  1층 2층 (범어동)
1048,언사입시학원,대구광역시 수성구 달구벌대로 2480 (범어동) 9층
1049,애니인트로만화학원,대구광역시 중구 중앙대로 281  1층 2층 (남산동)
1050,칸타빌레음악학원,대구광역시 동구 팔공로51길 11  406호 (봉무동)
1051,샤인실용음악학원,대구광역시 수성구 범안로 58  3층 (범물동)
1052,보담학원,대구광역시 수성구 달구벌대로 2670  5층 (만촌동 한겨레빌딩)
1053,전원미술학원,대구광역시 수성구 달구벌대로 2455  2층 (범어동)
1054,영플립어학원,대구광역시 수성구 달구벌대로 2525 5층(범어동)
1055,책나무만촌독서학원,대구광역시 수성구 만촌로 128  3층 (만촌동)
1056,통아트(TONGARTACADEMY)미술학원,대구광역시 동구 팔공로49길 33  1층 (봉무동)
1057,빌리브음악학원,대구광역시 수성구 청호로 418  2층 (범어동 빌리브범어)
1058,백박사학원,대구광역시 동구 팔공로 259  302호 (봉무동 프라임빌딩)
1059,굿썸독서실,대구광역시 수성구 상록로 70  5층 (범어동)
1060,이재훈영어학원,대구광역시 수성구 달구벌대로 2488  5층 (범어동)
1061,여기는관리형2독서실,대구광역시 중구 명륜로 40  2~4층 (남산동)
1062,라임음악미술학원,대구광역시 동구 과학로13길 2  401호 (각산동)
1063,대경수학학원,대구광역시 동구 동호로5길 12  3층 (신서동)
1064,책나무수성1가독서학원,대구광역시 수성구 수성로69길 55  2층 (수성동1가)
1065,수담수학학원,대구광역시 수성구 만촌로 146  2층 (만촌동)
1066,티큐(TQ)사고력수학학원,대구광역시 수성구 만촌로 128  2층 (만촌동)
1067,인재원만촌입시관학원,대구광역시 수성구 달구벌대로 2670  4층 (만촌동 한겨레빌딩)
1068,영감수학과학학원,대구광역시 수성구 교학로 36  3층 (만촌동)
1069,범어캠퍼스매쓰플랜수학학원,대구광역시 수성구 달구벌대로504길 41  2층 (범어동)
1070,에소테리카영어학원,대구광역시 수성구 달구벌대로496길 21-13  3층 (범어동)
1071,엔이에스(NES)어학원,대구광역시 동구 동호로5길 15 4층 (신서동)
1072,범어라온음악학원,대구광역시 수성구 청호로88길 30  2층 (범어동)
1073,꿈꾸는미술학원,대구광역시 수성구 청호로88길 30  1층 (범어동)
1074,한국평생직업학원,대구광역시 동구 동촌로 268  5층 (방촌동 현대빌딩)
1075,책나무신천자이독서학원,대구광역시 동구 신암로18길 12-1  3층 (신천동)
1076,헬렌영어학원,대구광역시 수성구 유니버시아드로 341  4층 (욱수동)
1077,클라우드미술학원,대구광역시 수성구 달구벌대로 2545  2층 (만촌동)
1078,참좋은스쿨학원,대구광역시 중구 국채보상로 508  3층 4층 (계산동1가)
1079,집중과몰입학원,대구광역시 동구 국채보상로 787  3층 (신천동)
1080,그림나무미술학원,대구광역시 동구 신암남로 19  2층 (신암동)
1081,하이퍼수학학원,대구광역시 수성구 달구벌대로 3177  2층 일부 (매호동 대흥빌딩)
1082,잼잉글리쉬영어학원,대구광역시 동구 메디밸리로8길 4-24  1층 (사복동)
1083,스콜라리딩어학원,대구광역시 수성구 만촌로 120  1층 (만촌동)
1084,시지영어도서관어학원,대구광역시 수성구 시지로 22  401호 (시지동 수성 중앙빌딩)
1085,하이탑영어학원,대구광역시 수성구 고산로 121-11  2층 (매호동)
1086,훈민정필펜글씨교정학원,대구광역시 수성구 달구벌대로 3224  3층 (신매동)
1087,단군일등급사회한국사1관학원,대구광역시 수성구 달구벌대로504길 15  3층 (범어동)
1088,시아트미술학원,대구광역시 중구 중앙대로 265  2층 (남산동 남산동우체국)
1089,진명학원,대구광역시 동구 아양로 241  5층 (신암동)
1090,런업초등어학원,대구광역시 수성구 달구벌대로 2527  1001호 (범어동 손샘빌딩)
1091,책나무강동독서학원,대구광역시 동구 동호로 132  2층 일부 (신서동 영조아름다운나날)
1092,수성푸르넷학원,대구광역시 수성구 수성로 314  3층 (수성동2가)
1093,오즈발레학원,대구광역시 수성구 상록로 37  3층 (범어동)
1094,굿썸범어독서실,대구광역시 수성구 달구벌대로496길 26  5층 (범어동)
1095,아우룸외국어학원,대구광역시 수성구 달구벌대로 2498  5층 (범어동)
1096,한국자격기술인증원학원,대구광역시 중구 문우관길 47  4층 (남산동 아회)
1097,다오름수학학원,대구광역시 수성구 만촌로24길 8  2층 일부 (만촌동)
1098,리틀핑거스음악학원,대구광역시 수성구 상록로 51  2층 (범어동)
1099,굿썸신암독서실,대구광역시 동구 아양로 46  6층 (신암동)
1100,두잇독서실,대구광역시 수성구 달구벌대로649길 22-7  4층 (신매동)
1101,빛담도예학원,대구광역시 수성구 고산로4길 48  1층 (신매동)
1102,웅진씽크빅학습센터지산학원,대구광역시 수성구 용학로 222  2층 (지산동)
1103,주얼리아카데미학원,대구광역시 중구 태평로 178-1  2층 (태평로1가)
1104,뿌리깊은영어학원,대구광역시 동구 금강로 12  6층 (동호동)
1105,옳음학원,대구광역시 수성구 달구벌대로 2596  4층 일부 (만촌동)
1106,혁신1간호학원,대구광역시 동구 이노밸리로26길 23  203호 (각산동 효성빌딩)
1107,쉐마수학학원,대구광역시 수성구 지범로 192  7층 일부 (범물동)
1108,지오엠(GOM)수학학원,대구광역시 수성구 지범로 208  6층 일부 (범물동)
1109,유튜버아카데미학원,대구광역시 중구 중앙대로 391  315호 일부 317호 318호 (동성로3가)
1110,보스턴어학원,대구광역시 수성구 수성로 71  상가 2층 (상동 수성동일하이빌레이크시티아파트)
1111,공부의철인시지학원,대구광역시 수성구 고산로 98  2층 (신매동 근토빌딩)
1112,그래빗리딩영어학원,대구광역시 수성구 청수로35길 97  3층 (황금동)
1113,정직한선생님들영어수학각산점학원,대구광역시 동구 금강로 3  4층 (신서동)
1114,그릿수학학원,대구광역시 동구 반야월북로 136  3층 (각산동)
1115,서동민국어전문학원,대구광역시 수성구 범어로20길 49  2층 (범어동)
1116,대치138학원,대구광역시 수성구 달구벌대로 2575  8층 일부 (만촌동)
1117,범어신사고학원,대구광역시 수성구 달구벌대로 2495  4층 일부 (범어동 LG 하이프라자)
1118,바름수학학원,대구광역시 수성구 청호로 373  4층 (범어동)
1119,스터디나인(STUDY9)범어경신점독서실,대구광역시 수성구 범어로12길 6  1층 (범어동)
1120,클레프음악학원,대구광역시 수성구 상록로 67-1  2층 (범어동)
1121,수베스트앤본수학학원,대구광역시 수성구 지범로 167  3층 302호 (지산동 지산메디지오)
1122,피아노앤아트학원,대구광역시 중구 남성로 53  2층 (동성로3가)
1123,더원수학과학학원,대구광역시 수성구 달구벌대로 2538  3층 (범어동)
1124,만촌역점다몰입독서실,대구광역시 수성구 달구벌대로 2579  2층 (만촌동)
1125,손앤샘학원,대구광역시 동구 팔공로51길 31  202호 (봉무동)
1126,미래엔영어수학이쌤파워학원,대구광역시 동구 동촌로42길 19  3층 (방촌동)
1127,해법영어학원,대구광역시 수성구 들안로 300  상가 201202호 (수성동3가 수성 코오롱 하늘채)
1128,스카이(SKY)영수학원,대구광역시 수성구 상록로 67  3층 (범어동)
1129,사공설말하는미술학원,대구광역시 수성구 상록로 50  2층 (범어동)
1130,생각하는수학공간학원,대구광역시 수성구 달구벌대로 3294 2층 204-3호(신매동)
1131,수끌학원,대구광역시 수성구 달구벌대로492길 40  3층 (범어동)
1132,리딩오션수리융합프리미엄독서실,대구광역시 수성구 달구벌대로 2469  2층 일부 (범어동 범어동빌딩)
1133,차이뷰티학원,대구광역시 중구 남성로 25  4층 (남성로 덕신빌딩)
1134,MSK노블영어학원,대구광역시 수성구 달구벌대로 2538  5층 (범어동)
1135,슈에뜨음악학원,대구광역시 동구 팔공로51길 15-5  5층 (봉무동)
1136,이지화국어학원,대구광역시 수성구 달구벌대로 2492 7층(범어동)
1137,채정윤수학학원,대구광역시 수성구 달구벌대로 2508  3층 (범어동)
1138,드림웍스만화학원,대구광역시 중구 명덕로 169-1 23층 (남산동)
1139,스탠포드초등수학학원,대구광역시 동구 팔공로51길 41  402호 (봉무동)
1140,더비티에스(The BTS)영어학원,대구광역시 수성구 고산로 121-13  4층 (매호동)
1141,책나무경동학원,대구광역시 수성구 청호로 405  4층 (범어동 윈스쿨학원)
1142,민음악학원,대구광역시 수성구 고산로 70  4-16동 2층4호 (신매동 청솔타운)
1143,석수학수성학원,대구광역시 수성구 수성로69길 65  7동201호 (수성동1가 수성롯데캐슬더퍼스트2단지)
1144,이지원수학학원,대구광역시 동구 안심로22길 50  303호 (율하동)
1145,샤인학원,대구광역시 수성구 달구벌대로496길 26  4층 (범어동)
1146,위더스어학원,대구광역시 수성구 들안로 364 5층(수성동4가)
1147,더마스터영어발전소학원,대구광역시 수성구 고산로18길 5  7층 (신매동)
1148,매쓰마스터수학학원,대구광역시 수성구 달구벌대로650길 101  5층 (욱수동)
1149,영어한스푼학원,대구광역시 동구 율하동로24길 72  101201호 (서호동)
1150,대치영어학원,대구광역시 수성구 달구벌대로 2498  6층 (범어동)
1151,위잉글리시(WE ENGLISH)영어학원,대구광역시 수성구 달구벌대로631길 6  5층 (매호동)
1152,엘프리모학원,대구광역시 수성구 알파시티2로 33  303호 302호일부 (시지동)
1153,지샘영어수학학원,대구광역시 동구 신암로 116  2층 (신암동)
1154,잉글리시아이동대구센터점영어학원,대구광역시 동구 송라로 142  4층 (신암동)
1155,아트크루미술학원,대구광역시 수성구 알파시티2로 20  402호 (시지동)
1156,하이영수학원,대구광역시 동구 화랑로 51 302동 206호(신천동동대구비스타동원)
1157,테라수학과학학원,대구광역시 수성구 달구벌대로 3224  301호 일부 (신매동)
1158,한우리독서토론논술학원,대구광역시 수성구 상록로 28  5층 (범어동)
1159,윤선의국어독서논술학원,대구광역시 수성구 범어로 83-2 2층(범어동)
1160,잉글리시아이신천제스(JESS)점학원,대구광역시 동구 신암로 94-1  2층 (신암동)
1161,예승학원,대구광역시 수성구 파동로 151  3층 (파동)
1162,공감수학학원,대구광역시 수성구 달구벌대로 2563  2층 (만촌동)
1163,단군일등급학원,대구광역시 수성구 청호로 496  3층 (만촌동)
1164,강고영어범어관학원,대구광역시 수성구 달구벌대로 2480 (범어동) 10층
1165,지담학원,대구광역시 수성구 달구벌대로 2485 (범어동) 6층
1166,지엔에스영어수학학원,대구광역시 동구 팔공로51길 15-5  502호 (봉무동)
1167,샤인음악학원,대구광역시 동구 반야월북로 132  3층 (각산동)
1168,한나피아노학원,대구광역시 동구 화랑로80길 7-3  2층 (방촌동)
1169,필즈더클래식수학학원,대구광역시 수성구 청수로 154  2층 (지산동)
1170,김성갑입시학원,대구광역시 수성구 달구벌대로 2442  3층 (범어동)
1171,알파인입시학원,대구광역시 동구 안심로 411-1  3층 일부 (신서동 신서빌딩)
1172,에듀플렉스에듀코치개별지도수성구청학원,대구광역시 수성구 범어로 119 1층 일부 2층 일부
1173,고래영어루다영어학원,대구광역시 수성구 교학로 36  2층 (만촌동)
1174,SF247학원,대구광역시 수성구 달구벌대로 2575 12층(만촌동)
1175,강철수학학원,대구광역시 수성구 화랑로 74  4층 일부 (만촌동 동영빌딩)
1176,리드앤톡영어수학학원,대구광역시 동구 안심로16길 47  314호 (율하동 율하타임스퀘어)
