순번,학원 및 교습소명,주소
74,리틀지니어스외국어학원,대구광역시 중구 동덕로30길 136   외 1필지 1~3층 (삼덕동3가)
75,엠베스트영재학원,대구광역시 동구 안심로41길 36   2층 (서호동)
76,명인진학원,대구광역시 수성구 청호로 466   외1필지효성백년가약궁상가동101102103201 (범어동)
77,오르세음악학원,대구광역시 수성구 범안로2길 3-11   1층 (범물동)
78,꼬마고호미술학원,대구광역시 동구 신암남로23길 17 102호 일부(신암동동원맨션)
79,다비드조소학원,대구광역시 중구 중앙대로 279 (남산동바로크악기)
80,계명미술학원,대구광역시 수성구 수성로 34   1층 (상동)
81,이사벨무용학원,대구광역시 수성구 지범로39길 11-10   2층 (범물동)
82,한국문화평생직업학원,대구광역시 중구 경상감영길 161  3 4층 (동문동)
83,수성청담외국어학원,대구광역시 수성구 달구벌대로 2486  6~7층 (범어동 범어골드타워)
84,맨투맨스쿨입시학원,대구광역시 수성구 지범로39길 11-9 범물동 3층
85,릴라ET수학입시학원,대구광역시 수성구 범어로16길 40   1층 2층 (범어동)
86,세광입시학원,대구광역시 수성구 지범로 167  13층 (지산동)
87,범어이주현영어학원,대구광역시 수성구 달구벌대로 2476   3층 (범어동)
88,샐리스가든어학원,대구광역시 수성구 신천동로88길 46   1층 (수성동4가)
89,뉴외국어학원,대구광역시 수성구 달구벌대로 3218   8층 (신매동)
90,바스엔터테인먼트아카데미학원,대구광역시 중구 국채보상로 530  24층 (하서동)
91,민아뜰리에미술학원,대구광역시 수성구 지범로22길 23  협화아파트 상가 201호 (지산동)
92,이혜림음악학원,대구광역시 수성구 천을로 180  109/201 (매호동매호동서아파트)
93,도도아카데미미용학원,대구광역시 중구 동성로5길 26  10층 1001호 (삼덕동1가)
94,시지알파영어학원,대구광역시 수성구 달구벌대로631길 6  23층 (매호동)
95,권진희국어학원,대구광역시 수성구 달구벌대로 2575  7층 (만촌동)
96,영스어학원,대구광역시 수성구 신천동로88길 46   3층 (수성동4가)
97,시그마엠수학학원,대구광역시 수성구 고산로 121-23   3층 (매호동)
98,케이투수학학원,대구광역시 수성구 교학로 66 2층(만촌동)
99,패럴랙스학원,대구광역시 수성구 파동로 253  2층  (파동수성빌딩)
100,독학인학원,대구광역시 수성구 지범로 173   4층 (지산동)
101,탑클래스학원,대구광역시 수성구 수성로 367-2  2층 (수성동1가)
102,스카이입시학원,대구광역시 동구 경대로 2  2층 (신암동)
103,문성멘토학원,대구광역시 수성구 달구벌대로625길 21   대백아파트 상가 201호 (2층) (시지동)
104,한마루학원,대구광역시 수성구 달구벌대로504길 40  2층 (범어동)
105,동호학원,대구광역시 동구 동호로 83 5층(신서동)
106,헬렌영어써밋관학원,대구광역시 수성구 유니버시아드로 341  5층 (욱수동)
107,대구고려학원,대구광역시 수성구 달구벌대로 2504  5층 (범어동)
108,김샘지산범물학원,대구광역시 수성구 용학로 298  67층 (범물동)
109,브레인코칭아카데미학원,대구광역시 중구 명덕로 311-16   1층 2층 (대봉동)
110,윈스쿨어학원,대구광역시 수성구 청호로 405   1~2층 (범어동)
111,메이플트리어학원,대구광역시 동구 동호로 79   6층 (신서동)
112,더블라썸영어전문학원,대구광역시 동구 금강로 17   3층 (신서동)
113,동호이유외국어학원,대구광역시 동구 동호로5길 13  3층4층일부 (신서동)
114,만촌포인트정석속독학원,대구광역시 수성구 화랑로 50  자삼빌딩 7층 (만촌동)
115,예노을음악학원,대구광역시 수성구 만촌로 100  2층 (만촌동)
116,바흐음악학원,대구광역시 수성구 동원로 123  메트로팔레스아파트 상가 221/204 (만촌동)
117,맨하탄음악학원,대구광역시 수성구 만촌로 144   3층 (만촌동)
118,숲음악학원,대구광역시 수성구 욱수천로 15-2 201호
119,하늘샘피아노학원,대구광역시 동구 동호로 132  영조아름다운나날상가 320/302 (신서동)
120,아첼음악학원,대구광역시 동구 아양로42길 6  3층 (효목동)
121,작은별바이올린&피아노음악학원,대구광역시 수성구 만촌로 120   3층 (만촌동)
122,로즈마리피아노음악학원,대구광역시 동구 효목로 63  2층 (효목동)
123,리틀즈어학원,대구광역시 수성구 달구벌대로458길 36 1~3층(수성동1가)
124,가가미술학원,대구광역시 동구 동호로 79   4층 (신서동)
125,파동소리엘피아노학원,대구광역시 수성구 파동로 82-1   2층 (파동)
126,천년의미소미술학원,대구광역시 중구 중앙대로 275   1층 2층 (남산동)
127,YM입시학원,대구광역시 수성구 달구벌대로 2484   외 1필지 2층 3층일부 (범어동)
128,와이즈만영재교육학원,대구광역시 수성구 동원로1길 32  23층 (범어동)
129,시매쓰지산수학학원,대구광역시 수성구 청수로 270  2층 (황금동)
130,세마영어학원,대구광역시 수성구 화랑로12길 25   5층 (만촌동)
131,G2클래스학원,대구광역시 수성구 명덕로 402   3층 (수성동2가)
132,포스텍과학학원,대구광역시 수성구 청호로 413  1~3층 (범어동)
133,G&S수학입시학원,대구광역시 수성구 달구벌대로 2502  3층 (범어동)
134,이수목영어학원,대구광역시 수성구 달구벌대로496길 17 2층(범어동)
135,박노진수학전문학원,대구광역시 수성구 달구벌대로652길 69-3   3층 (욱수동)
136,고고스어학원,대구광역시 수성구 지범로 175 2층(지산동)
137,YBM어학원,대구광역시 중구 동성로1길 15  4층 (동성로3가)
138,방촌GnB영어학원,대구광역시 동구 화랑로 395  명지빌딩 2층 (방촌동)
139,애플음악학원,대구광역시 수성구 용학로 232   5층 (지산동)
140,뉴제3미술학원,대구광역시 중구 중앙대로 274   3층 (남산동)
141,황윤희발레학원,대구광역시 수성구 달구벌대로489길 79  2층 (범어동)
142,김정희플라워건축조경학원,대구광역시 수성구 동대구로 273  3층 (범어동 제은빌딩)
143,영재알파학원,대구광역시 수성구 달구벌대로 3163   7층 (매호동)
144,명강학원,대구광역시 수성구 달구벌대로 2468   4층 (범어동)
145,로고스수학원,대구광역시 중구 대봉로 271 3층 304호(봉산동)
146,굿샘영어학원,대구광역시 수성구 달구벌대로 2485  7층 (범어동)
147,도경입시학원,대구광역시 동구 팔공로26길 63-1   1-2층 (도동)
148,케앤씨입시학원,대구광역시 수성구 청수로 8 중동 2~3층
149,명문학원,대구광역시 동구 동촌로42길 19   2층 (방촌동)
150,중구LCI어학원,대구광역시 중구 달구벌대로 1936   5층 (남산동)
151,에스티엘영수학원,대구광역시 동구 팔공로101길 39   3층 (지묘동)
152,만촌1셜대학원,대구광역시 수성구 충의로 20   1층 2층 (만촌동)
153,최민아과학학원,대구광역시 수성구 범어로20길 39   2층 (범어동)
154,시매쓰수학과학영재학원,대구광역시 수성구 명덕로 441  3층 (수성동3가)
155,아이윌학원,대구광역시 중구 남산로17길 85   3층 (남산동)
156,송원학원,대구광역시 수성구 달구벌대로 2521  1~8층 (범어동)
157,월드공사공무원학원,대구광역시 동구 팔공로 163  재광빌딩2층 (불로동)
158,리틀모차르트음악학원,대구광역시 수성구 상화로5길 49 (상동)
159,로뎀음악학원,대구광역시 중구 달성로22길 13  2층 (수창동)
160,반올림음악학원,대구광역시 수성구 시지로 55  노변타운상가 1동 209호 (시지동)
161,신세계미술학원,대구광역시 수성구 수성로 315   2층 (수성동1가)
162,강남창조의아침미술학원,대구광역시 중구 중앙대로 270  2층 (남산동)
163,숲미술학원,대구광역시 수성구 달구벌대로 2583  206호 (만촌동 월드메르디앙)
164,도세르사진학원,대구광역시 중구 명덕로 189   2층 (남산동)
165,MBC아카데미뷰티미용학원,대구광역시 중구 공평로 25  4층 (삼덕동1가)
166,오무선뷰티아카데미미용학원,대구광역시 중구 달구벌대로 2068 3층일부(남산동)
167,뮤엠영어현수학학원,대구광역시 수성구 수성로 300-1  3층 (수성동2가)
168,딩딩당핑핑팡학원,대구광역시 수성구 동원로28길 52-6  1층 (만촌동)
169,최상위수학전문학원,대구광역시 수성구 신매로19길 4  3층 (신매동대영빌딩)
170,리더스앤리더스아카데미학원,대구광역시 수성구 동대구로29길 32   1-3층 (황금동)
171,뉴턴학원,대구광역시 수성구 동대구로 202   3층 (황금동)
172,김성훈국어학원,대구광역시 수성구 달구벌대로492길 43  2층 (범어동)
173,클라이어학원,대구광역시 수성구 달구벌대로 3175   2층 (매호동)
174,범어2셜대학원,대구광역시 수성구 달구벌대로489길 6  1층~4층 (범어동)
175,시매쓰수학과학영재교육학원,대구광역시 수성구 화랑로 50  7층 (만촌동자삼빌딩)
176,DSi입시학원,대구광역시 수성구 화랑로8길 11-13  3층 일부 (만촌동 성화빌딩)
177,엠포유입시학원,대구광역시 동구 반야월로 371 신서동 4층
178,진수학학원,대구광역시 수성구 신매로6길 8-13   1층 (신매동)
179,공신학원,대구광역시 수성구 청호로57길 16  2층 (황금동)
180,가나수학전문학원,대구광역시 수성구 고산로 98 6층(신매동)
181,거목입시학원,대구광역시 수성구 달구벌대로 2569   3층 (만촌동)
182,유신학원,대구광역시 중구 이천로 247-1  4~6층 (봉산동)
183,키즈칼리지어학원,대구광역시 수성구 달구벌대로 2598  610호 (만촌동)
184,월튼어학원,대구광역시 수성구 청수로 235  종합상가동 3층 307호 314-3호 (황금동 캐슬골드파크 2단지)
185,앤도버어학원,대구광역시 수성구 달구벌대로 2482 2층(범어동)
186,엘에스논리정속독학원,대구광역시 수성구 달구벌대로645길 11  204호 (신매동 신매동SNL메디타워)
187,더오르빗수학과학학원,대구광역시 수성구 달구벌대로 2334   4층 (수성동3가)
188,글로리아음악학원,대구광역시 수성구 지범로22길 9  한라타운 상가동 2층 201호 (지산동)
189,강동피아노음악학원,대구광역시 동구 동호로7길 14   1층 (신서동)
190,상록예림음악학원,대구광역시 동구 동호로 47  상록아이투빌아파트 상가 202호 203호 (동호동)
191,동산음악학원,대구광역시 동구 국채보상로159길 41  우방푸른타운상가 109동 3014호 (신천동)
192,허브영원한미소미술학원,대구광역시 중구 중앙대로 267   4층 (남산동)
193,나비효과미술학원,대구광역시 중구 중앙대로 307   3층 (남산동)
194,포즈발레학원,대구광역시 수성구 달구벌대로 2583  204호 (만촌동 월드메르디앙)
195,모아독서실,대구광역시 수성구 명덕로 448  4층 (수성동3가)
196,더죤독서실,대구광역시 수성구 달구벌대로504길 25   1~3층 (범어동)
